,Word,Surprisal,prompt
0,A,24.655019998305146,No Context
1,B1,9.377321650240019,No Context
2,B2,9.463740213535086,No Context
3,A,25.490624620738505,With Context
4,B1,8.935015371159812,With Context
5,B2,8.930088437116147,With Context
